[5, 1, 3, 7, 0, 8, 6, 2, 4]
[5, 1, 3, 7, 8, 0, 6, 2, 4]
[5, 1, 3, 7, 8, 4, 6, 2, 0]
[5, 1, 3, 7, 8, 4, 6, 0, 2]
[5, 1, 3, 7, 8, 4, 0, 6, 2]
[5, 1, 3, 0, 8, 4, 7, 6, 2]
[0, 1, 3, 5, 8, 4, 7, 6, 2]
[1, 0, 3, 5, 8, 4, 7, 6, 2]
[1, 8, 3, 5, 0, 4, 7, 6, 2]
[1, 8, 3, 0, 5, 4, 7, 6, 2]
[1, 8, 3, 7, 5, 4, 0, 6, 2]
[1, 8, 3, 7, 5, 4, 6, 0, 2]
[1, 8, 3, 7, 0, 4, 6, 5, 2]
[1, 8, 3, 7, 4, 0, 6, 5, 2]
[1, 8, 3, 7, 4, 2, 6, 5, 0]
[1, 8, 3, 7, 4, 2, 6, 0, 5]
[1, 8, 3, 7, 4, 2, 0, 6, 5]
[1, 8, 3, 0, 4, 2, 7, 6, 5]
[1, 8, 3, 4, 0, 2, 7, 6, 5]
[1, 8, 3, 4, 2, 0, 7, 6, 5]
[1, 8, 0, 4, 2, 3, 7, 6, 5]
[1, 0, 8, 4, 2, 3, 7, 6, 5]
[1, 2, 8, 4, 0, 3, 7, 6, 5]
[1, 2, 8, 0, 4, 3, 7, 6, 5]
[0, 2, 8, 1, 4, 3, 7, 6, 5]
[2, 0, 8, 1, 4, 3, 7, 6, 5]
[2, 8, 0, 1, 4, 3, 7, 6, 5]
[2, 8, 3, 1, 4, 0, 7, 6, 5]
[2, 8, 3, 1, 0, 4, 7, 6, 5]
[2, 0, 3, 1, 8, 4, 7, 6, 5]
[0, 2, 3, 1, 8, 4, 7, 6, 5]
[1, 2, 3, 0, 8, 4, 7, 6, 5]
[1, 2, 3, 8, 0, 4, 7, 6, 5]
